"time1_size_s_fq","rec_serv_s_fq","env_car_s_fq","time2_delay_s_fq","delay_rtt_s_fq","ncars_s_fq"
405,411450.666666667,494539.733333333,406,36.742,15
406,440212.266666667,495338.666666667,407,69.8733333333333,15
407,425032.533333333,496137.6,408,132.533333333333,15
408,436217.6,496137.6,409,137.133333333333,15
409,441011.2,495338.666666667,410,34.9,15
410,414646.4,491344,411,8.162,15
411,394673.066666667,497735.466666667,412,34.2533333333333,15
412,366710.4,495338.666666667,413,6.98066666666667,15
413,385884.8,494539.733333333,414,58.7086666666667,15
414,405858.133333333,495338.666666667,415,12.0886666666667,15
415,418641.066666667,492142.933333333,416,18.568,15
416,417043.2,495338.666666667,417,154.8,15
417,421037.866666667,496936.533333333,418,266.2,15
418,414646.4,493740.8,419,255.933333333333,15
419,403461.333333333,495338.666666667,420,321.4,15
420,424233.6,494539.733333333,421,68.3473333333333,15
421,421836.8,492941.866666667,422,10.2193333333333,15
422,408254.933333333,498534.4,423,5.98133333333333,15
423,394673.066666667,490545.066666667,424,23.3006666666667,15
424,380292.266666667,496936.533333333,425,16.1533333333333,15
425,417842.133333333,496936.533333333,426,12.8066666666667,15
426,387482.666666667,494539.733333333,427,6.57133333333333,15
427,410651.733333333,494539.733333333,428,3.56133333333333,15
428,427429.333333333,497735.466666667,429,5.81666666666667,15
429,425032.533333333,496137.6,430,34.7066666666667,15
430,447402.666666667,495338.666666667,431,51.2113333333333,15
431,427429.333333333,496936.533333333,432,37.7926666666667,15
432,401863.466666667,495338.666666667,433,6.72666666666667,15
433,425831.466666667,496936.533333333,434,37.294,15
434,403461.333333333,494539.733333333,435,42.7333333333333,15
435,378694.4,494539.733333333,436,85.3933333333333,15
436,389080.533333333,498534.4,437,46.7793333333333,15
437,372302.933333333,496137.6,438,53.782,15
438,349932.8,495338.666666667,439,34.7,15
439,389080.533333333,496936.533333333,440,28.9173333333333,15
440,403461.333333333,493740.8,441,19.3533333333333,15
441,390678.4,496137.6,442,85.8533333333333,15
442,410651.733333333,496936.533333333,443,30.774,15
443,407456,496137.6,444,3.25533333333333,15
444,409053.866666667,496137.6,445,43.4533333333333,15
445,417043.2,494539.733333333,446,26.4266666666667,15
446,411450.666666667,492941.866666667,447,17.4773333333333,15
447,345139.2,494539.733333333,448,7.63133333333333,15
448,357922.133333333,497735.466666667,449,22.558,15
449,376297.6,496936.533333333,450,6.698,15
450,353128.533333333,497735.466666667,451,58.1866666666667,15
