"time1_size_s_fn","rec_serv_s_fn","env_car_s_fn","time2_delay_s_fn","delay_rtt_s_fn","ncars_s_fn"
335,437016.533333333,496137.6,336,104.333333333333,15
336,381890.133333333,494539.733333333,337,9.66,15
337,283621.333333333,497735.466666667,338,2.49666666666667,15
338,409852.8,496936.533333333,339,38.7093333333333,15
339,379493.333333333,492941.866666667,340,1.61133333333333,15
340,327562.666666667,497735.466666667,341,6.09,15
341,385884.8,494539.733333333,342,106.306666666667,15
342,393874.133333333,499333.333333333,343,77.3266666666667,15
343,397868.8,495338.666666667,344,56.66,15
344,338747.733333333,495338.666666667,345,33.56,15
345,362715.733333333,495338.666666667,346,2.712,15
346,388281.6,495338.666666667,347,9.73,15
347,389080.533333333,497735.466666667,348,19.958,15
348,418641.066666667,495338.666666667,349,25.4226666666667,15
349,404260.266666667,495338.666666667,350,71.4466666666667,15
350,317176.533333333,497735.466666667,351,71.62,15
351,308388.266666667,492142.933333333,352,5.49933333333333,15
352,321171.2,496137.6,353,1.488,15
353,258055.466666667,497735.466666667,354,17.1213333333333,15
354,334753.066666667,495338.666666667,355,8.59533333333333,15
355,407456,492941.866666667,356,5.838,15
356,408254.933333333,495338.666666667,357,27.88,15
357,419440,496936.533333333,358,5.652,15
358,393075.2,493740.8,359,7.73533333333333,15
359,321970.133333333,491344,360,12.2626666666667,15
360,307589.333333333,499333.333333333,361,7.66,15
361,299600,494539.733333333,362,5.42666666666667,15
362,265245.866666667,493740.8,363,97.7866666666667,15
363,301996.8,496137.6,364,200.8,15
364,328361.6,496137.6,365,218.466666666667,15
365,361916.8,495338.666666667,366,301.6,15
366,361916.8,496137.6,367,517.933333333333,15
367,379493.333333333,495338.666666667,368,6.64666666666667,15
368,273235.2,496137.6,372,3.26,15
369,320372.266666667,496936.533333333,373,7.946,15
370,298002.133333333,495338.666666667,374,3.474,15
371,270039.466666667,496936.533333333,375,13.306,15
372,268441.6,496936.533333333,376,21.5306666666667,15
373,303594.666666667,496137.6,377,13.014,15
374,329160.533333333,495338.666666667,378,1.36666666666667,15
375,298801.066666667,496936.533333333,379,20.95,15
376,349133.866666667,496137.6,380,18.6926666666667,15
377,366710.4,496137.6,381,15.78,15
378,341144.533333333,495338.666666667,382,8.288,15
379,417043.2,496936.533333333,383,2.714,15
380,323568,496936.533333333,384,12.6626666666667,15
381,364313.6,493740.8,385,11.094,15
382,324366.933333333,492941.866666667,386,11.05,15
383,295605.333333333,494539.733333333,387,2.094,15
384,313980.8,497735.466666667,388,17.3253333333333,15
385,340345.6,496137.6,389,8.56133333333333,15
386,373900.8,497735.466666667,390,6.58,15
387,393874.133333333,492941.866666667,391,5.332,15
388,325165.866666667,492941.866666667,392,11.9906666666667,15
389,302795.733333333,492941.866666667,393,13.5806666666667,15
390,298801.066666667,496936.533333333,394,28.9506666666667,15
391,340345.6,492941.866666667,395,47.4973333333333,15
392,338747.733333333,494539.733333333,396,3.27333333333333,15
393,340345.6,496137.6,397,10.1053333333333,15
394,352329.6,496137.6,398,10.9066666666667,15
395,260452.266666667,495338.666666667,399,7.26533333333333,15
396,302795.733333333,496137.6,400,17.862,15
397,338747.733333333,492941.866666667,401,8.6386,15
398,349133.866666667,496137.6,402,8.83066666666667,15
399,298002.133333333,494539.733333333,403,11.74,15
400,352329.6,494539.733333333,404,5.40066666666667,15
401,377895.466666667,496137.6,405,3.66333333333333,15
402,298801.066666667,496936.533333333,406,71.5846666666667,15
403,295605.333333333,492941.866666667,407,22.3,15
404,336350.933333333,496137.6,408,4.26666666666667,15
405,335552,495338.666666667,409,4.76066666666667,15
406,324366.933333333,494539.733333333,410,2.82,15
407,246071.466666667,496936.533333333,411,0.357333333333333,15
408,303594.666666667,496936.533333333,412,5.31333333333333,15
409,312382.933333333,495338.666666667,413,1.19,15
410,323568,494539.733333333,414,0.98,15
411,325964.8,493740.8,417,3.93533333333333,15
412,298002.133333333,499333.333333333,418,1.01333333333333,15
413,344340.266666667,492142.933333333,419,35.0533333333333,15
414,357123.2,495338.666666667,420,56.4466666666667,15
415,338747.733333333,492941.866666667,421,21.1813333333333,15
416,349133.866666667,496137.6,422,21.1286666666667,15
417,350731.733333333,495338.666666667,423,11.79,15
418,365112.533333333,493740.8,424,48.4733333333333,15
419,388281.6,493740.8,425,11.668,15
420,261251.2,496936.533333333,426,23.6633333333333,15
421,279626.666666667,497735.466666667,427,3.82533333333333,15
422,330758.4,493740.8,428,16.0613333333333,15
423,346737.066666667,496137.6,429,9.20133333333333,15
424,345139.2,496137.6,430,1.80466666666667,15
425,314779.733333333,495338.666666667,431,46.0606666666667,15
426,391477.333333333,497735.466666667,432,89.0613333333333,15
427,380292.266666667,490545.066666667,433,30.98,15
428,425032.533333333,494539.733333333,434,114.06,15
429,381091.2,496137.6,435,12.7486666666667,15
430,265245.866666667,496137.6,436,55.2366666666667,15
431,296404.266666667,496137.6,437,40.9706666666667,15
432,355525.333333333,497735.466666667,438,3.07333333333333,15
433,307589.333333333,496137.6,441,1.62,15
434,338747.733333333,494539.733333333,442,2.61066666666667,15
435,326763.733333333,496936.533333333,443,16.7733333333333,15
436,317176.533333333,496137.6,445,3.79333333333333,15
437,379493.333333333,496936.533333333,446,58.4913333333333,15
438,342742.4,495338.666666667,447,322.266666666667,15
439,323568,496936.533333333,448,29.578,15
440,332356.266666667,492142.933333333,449,25.3346666666667,15
441,293208.533333333,496936.533333333,450,4.93266666666667,15
442,353927.466666667,495338.666666667,451,10.8953333333333,15
443,373101.866666667,496137.6,452,14.5773333333333,15
444,290811.733333333,493740.8,453,21.76,15
445,327562.666666667,493740.8,454,7.50533333333333,15
446,405059.2,495338.666666667,455,5.50533333333333,15
447,421037.866666667,493740.8,456,12.2833333333333,15
448,357123.2,495338.666666667,457,6.34666666666667,15
449,305192.533333333,492941.866666667,458,15.2213333333333,15
450,318774.4,493740.8,459,9.06133333333333,15
