"time1_size_e_fq","rec_serv_e_fq","env_car_e_fq","time2_delay_e_fq","delay_rtt_e_fq","ncars_e_fq"
368,307589.333333333,494539.733333333,373,2519.26666666667,15
369,317975.466666667,500132.266666667,374,1082.73333333333,15
370,305991.466666667,492941.866666667,375,2082.4,15
371,315578.666666667,495338.666666667,376,2033.26666666667,15
372,309986.133333333,497735.466666667,377,1593.13333333333,15
373,315578.666666667,496137.6,378,2147.2,15
374,309187.2,496137.6,379,1985.26666666667,15
375,307589.333333333,496137.6,380,958.166666666667,15
376,301996.8,495338.666666667,381,2537.24666666667,15
377,317176.533333333,495338.666666667,382,2559.93333333333,15
378,318774.4,495338.666666667,383,1539.33333333333,15
379,278827.733333333,494539.733333333,384,3022.19333333333,15
380,305192.533333333,497735.466666667,385,1513.97333333333,15
381,301996.8,496137.6,386,3015.98666666667,15
382,311584,493740.8,387,1993.22,15
383,297203.2,494539.733333333,388,3022.66666666667,15
384,306790.4,493740.8,389,2471.6,15
385,306790.4,496936.533333333,390,2002.67333333333,15
386,300398.933333333,495338.666666667,391,1496.32,15
387,302795.733333333,496137.6,392,2506.38666666667,15
388,313181.866666667,496137.6,393,3037.6,15
389,289213.866666667,496137.6,394,2561.93333333333,15
390,286817.066666667,497735.466666667,395,2527.33333333333,15
391,287616,492941.866666667,396,2097.53333333333,15
392,313980.8,496936.533333333,397,2031.46666666667,15
393,311584,494539.733333333,398,3466.13333333333,15
394,317176.533333333,494539.733333333,399,1001.66666666667,15
395,290012.8,497735.466666667,400,4100.53333333333,15
396,311584,492941.866666667,401,3534.33333333333,15
397,313980.8,496137.6,402,1605.26666666667,15
398,310785.066666667,498534.4,403,1546,15
399,313181.866666667,495338.666666667,404,3630.73333333333,15
400,312382.933333333,500931.2,405,2062.93333333333,15
401,313181.866666667,492142.933333333,406,3017.73333333333,15
402,307589.333333333,497735.466666667,407,2042.8,15
403,317176.533333333,495338.666666667,408,2688.4,15
404,308388.266666667,496137.6,409,1746.53333333333,15
405,316377.6,498534.4,410,2253.73333333333,15
406,304393.6,495338.666666667,411,1713.66666666667,15
407,317176.533333333,493740.8,412,3102.86666666667,15
408,309187.2,496137.6,413,2254.06666666667,15
409,314779.733333333,495338.666666667,414,3221.13333333333,15
410,307589.333333333,496137.6,415,2212.26666666667,15
411,315578.666666667,496137.6,416,2277.26666666667,15
412,310785.066666667,495338.666666667,417,3311.13333333333,15
413,312382.933333333,492941.866666667,418,510.133333333333,15
414,313181.866666667,494539.733333333,419,3487.93333333333,15
415,309986.133333333,492142.933333333,420,2029.73333333333,15
416,313181.866666667,497735.466666667,421,3677.26666666667,15
417,309986.133333333,496137.6,422,2750.13333333333,15
418,317975.466666667,496137.6,423,1455.93333333333,15
419,305192.533333333,492142.933333333,424,2136.26666666667,15
420,316377.6,495338.666666667,425,1745.93333333333,15
421,294007.466666667,492941.866666667,426,3310.53333333333,15
422,317176.533333333,496137.6,427,2293.13333333333,15
423,305991.466666667,497735.466666667,428,1736.73333333333,15
