"time1_size_e_fs","rec_serv_e_fs","env_car_e_fs","time2_delay_e_fs","delay_rtt_e_fs","ncars_e_fs"
378,390678.4,494539.733333333,379,2208.53333333333,15
379,380292.266666667,496137.6,380,1750.38,15
380,389879.466666667,491344,381,2898.33333333333,15
381,401064.533333333,497735.466666667,382,2199.28666666667,15
382,392276.266666667,493740.8,383,2286.75333333333,15
383,410651.733333333,496936.533333333,384,2285.73333333333,15
384,414646.4,494539.733333333,385,1201.33333333333,15
385,404260.266666667,493740.8,386,96.744,15
386,392276.266666667,498534.4,387,204.533333333333,15
387,398667.733333333,492142.933333333,388,1182.54666666667,15
388,385085.866666667,499333.333333333,389,1587.08,15
389,381091.2,496137.6,390,1040.08,15
390,321171.2,492142.933333333,391,508.2,15
391,364313.6,495338.666666667,392,1011.85333333333,15
392,384286.933333333,497735.466666667,393,554.9,15
393,357922.133333333,495338.666666667,394,1448.59333333333,15
394,397868.8,496137.6,395,966.866666666667,15
395,384286.933333333,497735.466666667,396,1875.24,15
396,379493.333333333,494539.733333333,397,1375.23333333333,15
397,393874.133333333,496137.6,398,994.666666666667,15
398,397069.866666667,494539.733333333,399,1815.86666666667,15
399,391477.333333333,494539.733333333,400,957.1,15
400,397868.8,498534.4,401,1462.26666666667,15
401,406657.066666667,496137.6,402,1869.09333333333,15
402,376297.6,492941.866666667,403,953.793333333333,15
403,373900.8,496936.533333333,404,1870.17333333333,15
404,369906.133333333,495338.666666667,405,502.238666666667,15
405,381091.2,495338.666666667,406,1487.89333333333,15
406,383488,496137.6,407,988.626666666667,15
407,346737.066666667,500931.2,408,994.746666666667,15
408,329160.533333333,493740.8,409,1515.27333333333,15
409,352329.6,498534.4,410,2032.76666666667,15
410,369906.133333333,492142.933333333,411,1513.97333333333,15
411,367509.333333333,496936.533333333,412,518.36,15
412,348334.933333333,494539.733333333,413,1490.67333333333,15
413,293208.533333333,496936.533333333,414,1009.27333333333,15
414,224500.266666667,494539.733333333,415,490.4,15
415,388281.6,495338.666666667,416,1088.86666666667,15
416,393075.2,493740.8,417,1640.73333333333,15
417,412249.6,498534.4,418,1492.63333333333,15
418,366710.4,494539.733333333,419,1501.73333333333,15
419,391477.333333333,496936.533333333,420,2930.6,15
420,411450.666666667,497735.466666667,421,948.033333333333,15
421,397868.8,495338.666666667,422,996.866666666667,15
422,388281.6,497735.466666667,423,1314.60666666667,15
423,361117.866666667,495338.666666667,424,451,15
424,359520,496936.533333333,425,439.233333333333,15
425,365112.533333333,496137.6,426,1802.26666666667,15
426,395472,497735.466666667,427,1923.06666666667,15
427,398667.733333333,493740.8,428,989.626666666667,15
428,382689.066666667,497735.466666667,429,982.106666666667,15
429,395472,495338.666666667,430,1996.02666666667,15
430,403461.333333333,497735.466666667,431,1527.30666666667,15
431,270838.4,493740.8,432,1932.88666666667,15
432,330758.4,498534.4,433,1446.32666666667,15
433,268441.6,493740.8,434,496.3,15
434,235685.333333333,500132.266666667,435,976.066666666667,15
435,346737.066666667,496137.6,436,1007.94,15
436,271637.333333333,496137.6,437,1000.40666666667,15
437,317176.533333333,496137.6,438,12.3333333333333,15
438,355525.333333333,496137.6,439,1478.52,15
439,228494.933333333,494539.733333333,440,470.946666666667,15
440,377895.466666667,496936.533333333,441,2737.73333333333,15
441,385884.8,496936.533333333,442,4674.46666666667,15
442,417842.133333333,496936.533333333,443,633.8,15
443,401863.466666667,497735.466666667,444,749.133333333333,15
444,410651.733333333,496936.533333333,445,470.146666666667,15
445,399466.666666667,495338.666666667,446,919.366666666667,15
446,400265.6,498534.4,447,3865.22,15
447,365112.533333333,497735.466666667,448,654.470666666667,15
448,393075.2,496936.533333333,449,685.026666666667,15
449,373101.866666667,497735.466666667,450,958.406666666667,15
450,409053.866666667,496137.6,451,3909.33333333333,15
