"time1_size_e2_fs","rec_serv_e2_fs","env_car_e2_fs","time2_delay_e2_fs","delay_rtt_e2_fs","ncars_e2_fs"
359,554459.733333333,985084.8,360,6101.28,15
360,552062.933333333,986682.666666667,361,276.916666666667,15
361,542475.733333333,984285.866666667,362,519.88,15
362,544073.6,981090.133333333,363,276.973333333333,15
363,540078.933333333,981090.133333333,364,1283.22,15
364,553660.8,990677.333333333,365,517.354,15
365,544073.6,984285.866666667,366,2260.29333333333,15
366,544073.6,989079.466666667,367,3414.96666666667,15
367,546470.4,984285.866666667,368,555.666666666667,15
368,545671.466666667,981090.133333333,369,1282.54666666667,15
369,540078.933333333,989079.466666667,370,2986.46666666667,15
370,536084.266666667,985084.8,371,1372.13333333333,15
371,530491.733333333,987481.6,372,1101.86666666667,15
372,516110.933333333,988280.533333333,373,118.8,15
373,512915.2,984285.866666667,374,279.506666666667,15
374,543274.666666667,985084.8,375,2036.22666666667,15
375,536084.266666667,989079.466666667,376,1358.26,15
376,524899.2,982688,377,2038,15
377,540877.866666667,981889.066666667,378,3697.86666666667,15
378,548867.2,981090.133333333,379,352.266666666667,15
379,554459.733333333,989878.4,380,1694.6,15
380,547269.333333333,979492.266666667,381,563.066666666667,15
381,536084.266666667,987481.6,382,1930.65333333333,15
382,541676.8,977095.466666667,383,2206.64666666667,15
383,527296,985084.8,384,1010.86666666667,15
384,521703.466666667,982688,385,791.893333333333,15
385,527296,985084.8,386,513.14,15
386,534486.4,987481.6,387,750.86,15
387,542475.733333333,982688,388,520.382666666667,15
388,548867.2,987481.6,389,771.533333333333,15
389,540877.866666667,987481.6,390,475.486,15
390,546470.4,974698.666666667,391,929.228,15
391,512915.2,986682.666666667,392,2123.99666666667,15
392,538481.066666667,983486.933333333,393,1273.57333333333,15
393,519306.666666667,984285.866666667,394,1216.76466666667,15
394,532089.6,981889.066666667,395,881.686666666667,15
395,532888.533333333,986682.666666667,396,2142.36666666667,15
396,537682.133333333,985084.8,397,671.473333333333,15
397,534486.4,989079.466666667,398,495.4,15
398,539280,985084.8,399,1122.38666666667,15
399,541676.8,984285.866666667,400,689.06,15
400,540877.866666667,982688,401,2044.02666666667,15
401,525698.133333333,985883.733333333,402,713.693333333333,15
402,535285.333333333,969106.133333333,403,1451.97333333333,15
403,513714.133333333,987481.6,404,747.693333333333,15
404,537682.133333333,987481.6,405,1053.38666666667,15
405,521703.466666667,981889.066666667,406,1822.25333333333,15
406,540877.866666667,981090.133333333,407,516.03,15
407,519306.666666667,981090.133333333,408,263.873333333333,15
