"time1_size_s_fs","rec_serv_s_fs","env_car_s_fs","time2_delay_s_fs","delay_rtt_s_fs","ncars_s_fs"
438,419440,496936.533333333,439,17.1866666666667,15
439,341943.466666667,495338.666666667,440,1.85333333333333,15
440,433820.8,496137.6,441,171.2,15
441,437016.533333333,496936.533333333,442,171.466666666667,15
442,431424,496936.533333333,443,321,15
443,432222.933333333,495338.666666667,444,538.933333333333,15
444,438614.4,496137.6,445,42.9866666666667,15
445,434619.733333333,494539.733333333,446,35.618,15
446,426630.4,495338.666666667,447,56.8533333333333,15
447,381091.2,497735.466666667,448,2.07466666666667,15
448,441810.133333333,493740.8,449,18.8606666666667,15
449,435418.666666667,500132.266666667,450,30.7346666666667,15
450,397868.8,496137.6,451,35.9933333333333,15
